Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
39 250.00 1152.61 0.672917 50.0313 0.148831 16.2014 0.391361 0 5.40054 0.0467707 11.0278 0.0112824 0 15.1851 1.54691 0.00872785 0 0 0
40 250.00 1151.61 0.659413 50.0476 0.1501 16.1966 0.39261 0 5.44595 0.0473009 11.0013 0.0112452 0 15.1393 1.55914 0.00884542 0 0 0
41 250.00 1150.61 0.646344 50.0642 0.15135 16.1918 0.39386 0 5.49161 0.0478243 10.9746 0.0112063 0 15.0933 1.57136 0.00896351 0 0 0
42 250.00 1149.61 0.633694 50.081 0.15258 16.1868 0.395113 0 5.53754 0.0483394 10.9478 0.0111655 0 15.0471 1.58356 0.00908213 0 0 0
43 250.00 1148.61 0.621445 50.0981 0.15379 16.1818 0.396368 0 5.58373 0.048845 10.9208 0.0111225 0 15.0006 1.59575 0.00920125 0 0 0
44 250.00 1147.61 0.609584 50.1154 0.154978 16.1766 0.397627 0 5.63018 0.0493393 10.8937 0.0110772 0 14.9538 1.60792 0.00932088 0 0 0
45 250.00 1146.61 0.598094 50.1331 0.156143 16.1713 0.398891 0 5.67691 0.0498206 10.8664 0.0110292 0 14.9068 1.62007 0.00944101 0 0 0
46 250.00 1145.61 0.586962 50.1512 0.157283 16.1659 0.400161 0 5.7239 0.0502866 10.839 0.0109782 0 14.8595 1.63219 0.00956163 0 0 0
47 250.00 1144.61 0.576175 50.1698 0.158397 16.1604 0.40144 0 5.77115 0.0507348 10.8113 0.0109238 0 14.8118 1.6443 0.00968271 0 0 0
48 250.00 1143.61 0.565721 50.1888 0.159482 16.1548 0.402728 0 5.81867 0.0511622 10.7835 0.0108656 0 14.7639 1.65637 0.00980426 0 0 0
49 250.00 1142.61 0.555589 50.2084 0.160538 16.1489 0.404028 0 5.86644 0.0515653 10.7554 0.010803 0 14.7156 1.66841 0.00992625 0 0 0
50 250.00 1141.61 0.545768 50.2287 0.16156 16.1429 0.405342 0 5.91447 0.0519399 10.727 0.0107354 0 14.6669 1.68041 0.0100487 0 0 0
51 250.00 1140.61 0.536249 50.2497 0.162548 16.1367 0.406673 0 5.96273 0.0522808 10.6984 0.0106621 0 14.6178 1.69238 0.0101715 0 0 0
52 250.00 1139.61 0.527023 50.2716 0.163497 16.1302 0.408026 0 6.01123 0.0525818 10.6694 0.010582 0 14.5682 1.7043 0.0102947 0 0 0
53 250.00 1138.61 0.532844 49.6269 0.227183 15.9011 0.607488 0.478331 6.35491 0.0502063 10.6835 0.00997435 0 14.3839 1.66642 0.0100987 0 0 0
54 250.00 1137.61 0.515573 49.927 0.200927 16.043 0.521712 0.269872 6.27247 0.0520324 10.6145 0.0102041 0 14.3717 1.70614 0.0104026 0 0 0
55 250.00 1136.61 0.507155 49.9464 0.203341 16.0334 0.525762 0.272199 6.32587 0.0521253 10.5839 0.0100923 0 14.3192 1.71729 0.0105219 0 0 0
56 250.00 1135.61 0.499014 49.9675 0.205774 16.0232 0.529925 0.274481 6.37949 0.0521284 10.5526 0.00996602 0 14.2659 1.72834 0.0106412 0 0 0
57 250.00 1134.61 0.491153 49.9908 0.208223 16.0126 0.534216 0.27671 6.43327 0.0520194 10.5206 0.00982182 0 14.2118 1.73925 0.0107604 0 0 0
58 250.00 1133.61 0.483574 50.0168 0.21068 16.0012 0.538657 0.27888 6.48713 0.0517669 10.4877 0.00965471 0 14.1566 1.75002 0.0108792 0 0 0
59 250.00 1132.61 0.008531 36.8583 1.25921 14.1515 3.55567 7.58583 13.3991 0.13382 12.9072 0.0249578 0 8.90215 1.21468 0.00761185 0 0 0
60 250.00 1131.61 0.939761 50.2087 0.205281 15.9881 0.519774 0.2155 6.52636 0.0496622 10.3949 0.00904567 0 14.0962 1.77523 0.0111411 0 0 0
61 250.00 1130.61 0.462669 50.1233 0.217935 15.9607 0.553207 0.284917 6.64752 0.049584 10.38 0.00892784 0 13.9818 1.78089 0.0112312 0 0 0
62 250.00 1129.61 0.456513 50.1783 0.220121 15.9433 0.558715 0.286668 6.69934 0.0478991 10.3381 0.00852884 0 13.9174 1.79035 0.0113445 0 0 0
