System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
33 250.00 1158.61 67.656936 0.9887044485188714 0.989741 -814148.543803 179.395756 25.237087 97.473829 -145.123002 1722.662969 -9.762 0.000 2.678046 2.951739 2.610 n/a n/a
34 250.00 1157.61 66.898942 0.9888238729884989 0.989849 -804530.747279 177.342885 24.953737 96.324661 -143.735121 1704.839093 -9.774 0.000 2.678141 2.951803 2.616 n/a n/a
35 250.00 1156.61 66.157504 0.9889402584851257 0.989955 -795126.345311 175.334697 24.676566 95.200913 -142.375920 1687.406349 -9.786 0.000 2.678236 2.951869 2.622 n/a n/a
36 250.00 1155.61 65.432057 0.9890536968880345 0.990058 -785928.030756 173.369673 24.405362 -11037486843642189343588997758570773125102371113323779930875105437024256.000000 55642853069528307494059925979297297121343541222768933712235274591797248.000000 -2073290931064674943439064579306191905254769186655724870267370397637804032.000000 -9.798 0.000 2.678332 2.951938 2.628 n/a n/a
37 250.00 1154.61 64.722061 0.9891642751764173 0.990159 -776928.817259 171.446362 24.139924 93.026246 -139.739731 1653.661848 -9.810 0.000 2.678429 2.952010 2.634 n/a n/a
38 250.00 1153.61 64.026999 0.9892720756629515 0.990257 -768122.021095 169.563372 23.880059 91.973704 -138.460930 1637.325303 -9.822 0.000 2.678526 2.952085 2.640 n/a n/a
39 250.00 1152.61 63.346375 0.9893771759907722 0.990352 -759501.244187 167.719373 23.625584 90.943332 -137.207179 1621.330258 -9.834 0.000 2.678623 2.952163 2.646 n/a n/a
40 250.00 1151.61 62.679715 0.9894796493102460 0.990445 -751060.358041 165.913090 23.376320 89.934403 -135.977663 1605.665603 -9.846 0.000 2.678720 2.952244 2.652 n/a n/a
41 250.00 1150.61 62.026564 0.9895795642925360 0.990536 -742793.488685 164.143302 23.132099 88.946218 -134.771598 1590.320694 -9.858 0.000 2.678818 2.952328 2.658 n/a n/a
42 250.00 1149.61 61.386487 0.9896769851201934 0.990624 -734695.002409 162.408835 22.892757 87.978109 -133.588232 1575.285325 -9.870 0.000 2.678916 2.952416 2.664 n/a n/a
43 250.00 1148.61 60.759064 0.9897719714667775 0.990711 -726759.492250 160.708566 22.658139 87.029433 -132.426841 1560.549708 -9.882 0.000 2.679015 2.952507 2.670 n/a n/a
44 250.00 1147.61 60.143894 0.9898645783759126 0.990795 -718981.765162 159.041413 22.428095 86.099576 -131.286728 1546.104444 -9.894 0.000 2.679114 2.952601 2.676 n/a n/a
45 250.00 1146.61 59.540590 0.9899548561002687 0.990877 -711356.829745 157.406338 22.202480 85.187943 -130.167221 1531.940508 -9.906 0.000 2.679214 2.952700 2.682 n/a n/a
46 250.00 1145.61 58.948780 0.9900428498129281 0.990957 -703879.884484 155.802341 21.981156 84.293965 -129.067674 1518.049227 -9.918 0.000 2.679314 2.952802 2.687 n/a n/a
47 250.00 1144.61 58.368106 0.9901285992426379 0.991035 -696546.306357 154.228460 21.763988 83.417094 -127.987459 1504.422260 -9.930 0.000 2.679414 2.952908 2.693 n/a n/a
48 250.00 1143.61 57.798224 0.9902121381340492 0.991111 -689351.639737 152.683768 21.550848 82.556802 -126.925973 1491.051578 -9.943 0.000 2.679515 2.953018 2.699 n/a n/a
